,0
0,serpent
1,venimeux
2,vénéneux
3,serpent
4,rampe
5,serpent
6,pique
7,serpent
8,deux
9,têtes
10,cycle
11,serpent
12,deux
13,têtes
14,pique
15,devant
16,pique
17,derrière
18,pique
19,devant
20,celui
21,attrape
22,piquerai
23,devant
24,comme
25,derrière
26,derrière
27,comme
28,devant
29,belles
30,couleurs
31,oui
32,tellement
33,formes
34,serpent
35,vipères
36,vipères
37,vipères
38,peuvent
39,tuer
40,île
41,oléron
42,est
43,pas
44,mensonge
45,est
46,île
47,oléron
48,que
49,fille
50,daniel
51,est
52,fait
53,piquer
54,suis
55,plus
56,film
57,n'est
58,pas
59,film
60,est
61,réalité
62,est
63,vérité
64,copine
65,daniel
66,est
67,fait
68,piquer
69,vipère
70,île
71,oléron
72,failli
73,mourir
74,été
75,hospitalisée
