,0
0,serpent
1,jungle
2,animal
3,lion
4,gazelle
5,antilope
6,découvreur
7,bettina
8,rheims
9,photo
10,reportage
11,télévision
12,tv5
13,arte
14,coucher
15,soleil
16,sable
17,savane
18,corne
19,peau
20,braconnage
21,interdiction
22,onu
23,règlement
24,ententes
25,entre
26,états
27,états
28,lafrique
29,lune
30,maasai
31,collier
32,couleur
33,noire
34,peau
35,excision
36,nombre
37,femmes
38,suisse
39,algorithme
40,compagnies
41,aériennes
42,avion
43,panne
44,chute
45,absence
46,train
47,absence
48,voie
49,communication
50,jeep
51,séjour
52,prix
53,agence
54,voyage
55,livre
56,aventure
57,livre
58,photo
59,photo
60,reporters
61,mort
62,culpabilité
63,émission
64,télévisée
65,élocution
66,ministre
67,collier
68,feuillage
69,couleur
70,verte
71,caresser
72,peau
73,crocodile
74,être
75,mangé
76,crocodile
77,œufs
78,aquarium
