,0
0,chat
1,chien
2,serpent
3,chenille
4,limace
5,coccinelle
6,sauterelle
7,insecte
8,abeille
9,guêpe
10,bourdon
11,guépard
12,hyène
13,lion
14,cheval
15,gazelle
16,daim
17,écureuil
18,sanglier
19,cochon
20,chèvre
21,cheval
22,vache
23,mouton
24,coq
25,oie
26,canard
27,koala
28,zèbre
29,hippopotame
30,girafe
31,crocodile
32,alligator
33,baleine
34,dauphin
35,poulpe
36,méduse
37,carpe
38,raie
39,poisson
40,alvin
41,truite
42,saumon
43,dinosaure
44,éléphant
45,poisson
46,rouge
47,hérisson
48,cochon
49,d’inde
50,lapin
51,lièvre
52,blaireau
53,loriot
54,rat
55,souris
56,fourmi
57,moustique
58,mouche
59,araignée
