,0
0,prise
1,charge
2,douleur
3,clinique
4,douleur
5,comité
6,lutte
7,contre
8,douleur
9,maux
10,soin
11,guérir
12,hôpital
13,centre
14,hospitalier
15,universitaire
16,centre
17,hospitalier
18,erstein
19,psychiatrie
20,oncologie
21,hématologie
22,cicatrice
23,réparer
24,guérir
25,ouvert
26,fracture
27,ouverte
28,fracture
29,fermée
30,déchirer
31,mal
32,pied
33,mal
34,dos
35,mal
36,tête
37,céphalée
38,verrue
39,cicatrisation
40,plan
41,lutte
42,contre
43,douleur
44,hôpital
45,centre
46,hospitalier
47,universitaire
48,plan
49,national
50,lutte
51,contre
52,douleur
53,pansement
54,bandage
55,ceinture
56,maintien
57,hépatologie
58,gynécologie
59,obstétrique
60,imagerie
61,anesthésie
62,réanimation
63,samu
64,smur
65,pathologie
66,digestive
67,hépato-digestif
68,direction
69,générale
70,coordination
71,transplantation
72,coordination
73,prélèvement
74,biologie
75,pôle
76,biologie
77,examen
78,laboratoire
79,test
80,examen
81,spécialité
82,médicale
83,ophtalmologie
84,hygiène
85,pôle
86,santé
87,publique
