,0
0,piscine
1,natation
2,bonnet
3,bain
4,maillot
5,bain
6,slip
7,bain
8,lunettes
9,natation
10,eau
11,bleu
12,toucher
13,fond
14,plonger
15,marin
16,aviron
17,plonger
18,brasse
19,couler
20,crawl
21,dos
22,crawlé
23,chronomètre
24,compétition
25,jeux
26,olympiques
27,muscle
28,palme
29,chlore
30,odeur
31,été
32,découverte
33,jeu
34,ballon
35,bain
36,soleil
37,patauger
38,pataugeoire
39,petit
40,bain
41,grand
42,bain
43,bassin
44,ligne
45,eau
46,carreau
47,bleu
48,plongeoir
49,tunnel
50,toboggan
