,0
0,chat
1,chien
2,cheval
3,insecte
4,fourmie
5,papillon
6,chiwawa
7,labrador
8,corbeau
9,cygogne
10,aigle
11,moineau
12,rossignol
13,hirondelle
14,poisson
15,requin
16,dauphin
17,tigre
18,poule
19,hipopotame
20,éléphant
21,vache
22,mouton
23,chèvre
24,agneau
25,bouc
26,doryphore
27,rat
28,souris
29,serpent
30,boa
31,lézard
32,kangourou
33,koala
34,singe
35,gorille
36,puma
37,lion
38,antilope
39,panthère
40,guépard
41,cerf
42,biche
43,faon
44,paon
45,gru
46,flamand
47,rose
48,chevaux
49,sauvages
50,taureau
51,lapin
52,dinde
53,oie
54,cochon
55,truie
56,sanglier
