,0
0,vipère
1,chat
2,chien
3,mouche
4,guêpe
5,crocodile
6,alligator
7,cochon
8,mouton
9,orvet
10,cobra
11,éléphant
12,zèbre
13,jaguar
14,chow-chow
15,caniche
16,serpent
17,moustique
18,punaise
19,lit
20,autruche
21,poule
22,oie
23,dindon
24,kangourou
25,koala
26,émeu
27,paresseux
28,lion
29,tigre
30,chèvre
31,cochon
32,sanglier
33,tigre
34,licorne
35,manchot
36,pingouin
37,morse
38,lamantin
39,limule
40,auroch
41,yak
42,chamois
43,zébu
44,ornithorynque
45,lynx
46,loup
47,tétras
48,faucon
49,faison
50,cerf
51,biche
52,daim
53,écureuil
