,0
0,stagner
1,indescriptible
2,variation
3,varier
4,demeurer
5,partir
6,choisir
7,écrire
8,mourir
9,prendre
10,reprendre
11,descendre
12,apprendre
13,finir
14,redéfinir
15,dessiner
16,affirmer
17,démarrer
18,redémarrer
19,commencer
20,jaune
21,bleu
22,noir
23,rouge
24,vert
25,orange
26,violet
27,imbécile
28,idiot
29,variété
30,musique
31,trompette
32,piano
33,orgue
34,violon
35,saxophone
36,batterie
37,cymbale
38,tom
39,basse
40,contrebasse
41,baryton
42,beugle
43,trompette_cavalerie
44,trompette_harmonie
45,jaune
46,bleu
47,noir
48,vert
49,rouge
50,orange
51,ciel_bleu
52,nuage
53,pluie
54,orage
55,grêle
56,venteux
57,éclairé
58,ombragé
59,descendre
60,marche
61,lumière
62,maison
63,voiture
64,garage
65,bateau
66,avion
67,nuage
68,montagne
69,plaine
70,rivière
71,affluent
72,mer
73,océan
74,ville
75,village
76,arbre
77,plante
78,carnivore
79,insecte
80,chien
81,chat
82,poule
83,vache
84,cochon
85,porc
86,sanglier
87,biche
88,dévorer
89,amarrer
90,partir
91,lire
92,écrire
93,finir
94,taper
95,caresser
96,soigner
97,décourager
98,courage
99,vaillant
100,battre
101,taper
102,poing
103,fermer
104,casser
105,fracasser
106,inhibiteur
107,pompe
108,chaleur
109,carrelage
110,platre
111,mur
