,0
0,serpent
1,jungle
2,animal
3,lion
4,gazelle
5,antilope
6,découvreur
7,bettina_rheims
8,photo
9,reportage
10,télévision
11,tv5
12,arte
13,coucher_soleil
14,sable
15,savane
16,corne
17,peau
18,braconnage
19,interdiction
20,onu
21,règlement
22,ententes_entre_états
23,états
24,lafrique
25,lune
26,maasai
27,collier
28,couleur_noire_peau
29,excision
30,nombre_femmes
31,suisse
32,algorithme
33,compagnies_aériennes
34,avion
35,panne
36,chute
37,absence_train
38,absence_voie_communication
39,jeep
40,séjour
41,prix
42,agence_voyage
43,livre_aventure
44,livre_photo
45,photo_reporters
46,mort
47,culpabilité
48,émission_télévisée
49,élocution_ministre
50,collier
51,feuillage
52,couleur_verte
53,caresser_peau_crocodile
54,être_mangé_crocodile
55,œufs
56,aquarium
