,0
0,beauté
1,joie
2,amour
3,patience
4,amour_soi
5,maîtrise
6,bienveillance
7,merveilleux
8,joyeux
9,patient
10,content
11,happy
12,tous_jours
13,flamme
14,lumière
15,soleil
16,lune
17,étoile
18,ciel
19,bleu
20,oiseau
21,chanter
22,micro
23,parler
24,bouche
25,ordinateur
26,bureau
27,test
28,cerveau
29,examen
30,mémoire
31,concentration
32,difficulté
33,apprentissage
34,chanter
35,boire
36,manger
37,bouger
38,danser
39,crier
40,sauter
41,jongler
42,cirque
43,cerceau
44,feutre
45,stylo
46,couleur
47,bleu
48,blanc
49,rouge
50,france
51,drapeau
52,liberté
53,égalité
54,fraternité
55,marseillaise
56,louis_funès
57,grande_vadrouille
58,aventure
59,rigolo
60,comique
61,feuille
62,papier
63,ciseau
64,bricolage
65,dessin
66,humoriste
67,george_clooney
68,lunettes
69,yeux
70,voir
71,perception
72,différente
73,autre
74,sensation
75,fourmi
76,doigt
77,ongle
78,nez
79,bouche
80,oreille
81,ouïe
82,vue
83,toucher
84,goût
85,odorat
86,jambe
87,pied
88,main
89,tête
90,épaule
91,genou
92,tête
93,épaule
94,pied
95,genou
96,chanson
97,enfance
98,amusement
99,tristesse
100,maman
101,papa
102,frère
103,sœur
104,jean
105,olivier
106,anne
107,esther
108,sarah
109,mort
110,suicide
111,pas_cool
112,joie_vivre
113,armoire
114,chaise
115,quatre_pieds
116,tabouret
117,pas_stable
118,stable
119,équilibre
120,harmonie
121,perfection
