,0
0,pharmacie
1,vipère
2,dieu
3,diable
4,boa
5,python
6,sepent_sonnette
7,venin
8,antidote
9,louvoyer
10,fourbe
11,sournois
12,jungle
13,préhistoire
14,rampant
15,lézard
16,dinosaure
17,homme
18,évolution
19,environnement
20,faune
21,flore
22,animaux
23,guépard
24,lion
25,tigre
26,panthère
27,félin
28,guépard
29,léopard
30,animaux_jungle
31,animaux_ferme
32,cochon
33,oie_sauvage
34,canard
35,équilibre
36,homme
37,environnement
38,femme
39,enfant
40,terre
41,nuage
42,ciel
43,mer
44,océan
45,montagne
46,chalet
47,alpage
48,beauté
49,nature
50,lac
51,hauteur
52,neiges-éternelles
53,nuage
54,ciel_bleu
55,soleil
56,équilibre
57,osmose
58,univers
59,big_bang
60,dieu
