,0
0,ballon
1,chapeau
2,ciel
3,nuage
4,papillon
5,verdure
6,robe
7,cheveux
8,tapis
9,ver_terre
10,alimentation
11,chanter
12,nager
13,voler
14,crier
15,emballer
16,énerver
17,croire
18,ne_pas_croire
19,espérer
20,aimer
21,tiramisu
22,champion
23,envol
24,oiseau
25,chien
26,animaux
27,poisson
28,rivière
29,mer
30,bateau
31,océan
32,voilier
33,dériver
34,emballer
35,chanter
36,espérer
37,partir
38,éloigner
39,enivrer
40,vin
41,alcool
42,boisson
43,vent
44,branche
45,branchage
46,feuillage
47,chant_oiseau
48,émerveiller
49,merveilleux
50,partir
51,grandir
52,espérer
53,ralentir
54,poser
55,exclamer
56,ébaudir
57,émerveiller
58,arrêter
59,parler
60,carré
61,rond
62,fauteuil
63,écran
64,télévision
65,télévision
66,cinéma
67,grand_écran
68,agir
69,détruire
70,construire
71,reconstruire
72,table
73,chaise
74,lavabo
75,évier
76,robinet
77,casque
