,0
0,douleur
1,santé
2,médecin
3,infirmière
4,aide-soignant
5,psychologue
6,ergothérapeute
7,psychomotricien
8,douleur
9,drogue
10,douleur
11,chimie
12,douleur
13,médicament
14,douleur
15,hypocondriaque
16,corps
17,tête
18,corps
19,tête
20,jambe
21,cancer
22,diabète
23,leucémie
24,migraine
25,migratoire
26,migratoire
27,migratoire
28,douleur_chronique
29,douleur_diffuse
30,douleur
31,mal
32,mal-être
33,chirurgien
34,interne
35,interniste
36,corps_médical
37,hôpital
38,hôpital
39,clinique
40,pied
41,tête
42,jambe
43,corps
44,foie
45,foie
46,sang
47,douleur
48,douleur
49,tendinite
50,tendinite
51,dos
52,douleur_au_dos
53,douleur
54,mal
55,œil
56,nez
57,bouche
58,oreille
59,muqueuse
60,douleur_gynécologique
61,sphère_orl
