,0
0,piscine
1,natation
2,triathlon
3,eau
4,bassin_de_cinquante_mètres
5,jeux_olympiques
6,piscine
7,sport
8,compétition
9,compétition
10,jeu
11,aquatique
12,aquabike
13,aquagym
14,piscine
15,crawl
16,piscine
17,brasse
18,papillon
19,papillon
20,nage_crawlée
21,crawl
22,nage_sur_le_dos
23,piscine
24,saut_à_piscine
25,bébé
26,noyade
27,noyade
28,danger
29,danger
30,grillage
31,grillage
32,protection_pour_les_piscines
33,piscine
34,méditerranée
35,méditerranée
36,mer
37,mer
38,poisson
39,piscine
40,océan
41,oocéanographique
42,musée_océanographique
43,poisson_clown
44,poisson_chat
45,poisson_clown
46,poisson_chat
47,rivage
48,sable
49,sable
50,pêche
51,pêche
52,poisson
53,poisson
54,turbot
55,turbot
56,merlan
57,merlan
58,morue
59,activité
60,activité_sportive
61,bouger
62,mouvement_des_bras
63,mouvement_des_jambes
64,muscle
65,squelette
66,squelette
