,0
0,chlore
1,lunettes
2,maillot_bain
3,nage
4,dos
5,crawl
6,papillon
7,entraînement
8,barre
9,plongeon
10,calme
11,douceur
12,eau
13,amusement
14,joie
15,bébé_nageur
16,cours_natation
17,bleu
18,carrelage
19,verdure
20,été
21,hiver
22,bonnet_bain
23,shampooing
24,douche
25,savon
26,cabine
27,pieds_nus
28,sèche-cheveux
29,bien-être
30,bain_bouillonnant
31,douceur
32,exotisme
33,plongeon
34,masque
35,tuba
36,palme
37,crème
38,dimanche
39,boule
40,vague
41,cinquante_mètres
42,douleur
43,effort
44,respiration
45,temps
46,repos
47,glissement
48,sensation
49,épuisement
50,satisfaction
51,bien-être
52,essai
53,bac
54,réussite
55,test
