,0
0,eau
1,éclaboussure
2,enfant
3,noyade
4,maître-nageur
5,carrelage
6,chlore
7,décolorer
8,banc
9,serviette
10,soleil
11,sable
12,douche
13,vestiaire
14,herbe
15,prélassement
16,longueur
17,natation
18,rapidité
19,performance
20,rémi_lacour
21,rapidité
22,chronomètre
23,boire
24,tasse
25,chlore
26,plaisir
27,agréable
28,brasse
29,papillon
30,herbe
31,verdure
32,cris
33,éclaboussure
34,bonne_humeur
35,entente
36,joie
37,plaisir
38,rapidité
39,système_sécurité
40,nourrisson
41,bébé
42,mère
43,sable
44,plaisir
45,jouvence
46,vacance
47,richesse
48,maison
49,maison_ndividuelle
50,riche
51,argent
52,installation
53,vie
54,montant
