,0
0,âne_
1,ânesse_
2,hanneton_
3,canard_
4,poussin_
5,poule_
6,coq_
7,chat_
8,chaton_
9,chien_
10,chienne_
11,chiot_
12,poulain_
13,pouliche_
14,jument_
15,serpent_
16,souris_
17,tortue_
18,éléphant_
19,girafe_
20,buffle_
21,léopard_
22,guépard_
23,tigre_
24,lion_
25,lionceau_
26,crocodile_
27,ours_
28,panda_
29,vache_
30,bœuf_
31,veau_
32,cochon_
33,truite_
34,porc_
35,canard_.1
36,aigle_
37,oiseau_
38,rhinocéros_
39,gorille_
40,singe_
41,babouin_
42,Orang-outan_
43,loup_
44,renard_
45,hibou
46,chouette_
47,faon
48,biche_
49,renne
50,truite_.1
51,poisson_
52,souris_.1
53,mulot
