,0
0,richesse
1,coffre
2,pièce
3,seigneur
4,hache
5,chevalier
6,ponton
7,porte
8,grande
9,fort
10,défense
11,muraille
12,serf
13,dîme
14,lande
15,ruisseau
16,douve
17,cachette
18,bibliothèque
19,culture
20,tonneau
21,douve.1
22,méandre
23,labyrinthe
24,mystique
25,Dieu
26,caverne
27,être
28,chevalier.1
29,cheval
30,lance
31,épée
32,casque
33,armure
34,violence
35,cachot
36,prisonnier
37,cadavre
38,mort
39,nuit
40,ténèbres
41,squelette
42,torture
43,drapeau
44,bataille
45,peuple
46,paysan
47,classe
48,sociale
49,injustice
50,médiéval
51,sorcière
52,croyance
53,mythique
