,0
0,serpent
1,reptile
2,lézard
3,queue
4,lapin
5,lévrier
6,course
7,cheval
8,omar_sharif
9,omar_m'a_tuer
10,prison
11,justice
12,meurtre
13,homicide
14,libérage
15,libération
16,journal
17,le_monde
18,le_monde_ne_suffit_pas
19,le_monde
20,l'équipe
21,planète
22,planète
23,planète
24,système_solaire
25,soleil
26,lumière
27,lumière
28,photon
29,photon
30,particule
31,gluon
32,électron
33,positron
34,accélérateur_de_particule
35,fusion_thermonucléaire
36,recherche
37,fondamental
38,chercheur
39,science
40,conscience
41,âme
42,science_sans_conscience_n'est_que_ruine_de_l'âme
43,âme
44,volatile
45,volatile
46,essence
47,pétrole
48,pétrole
49,magnat
50,magnat_du_pétrole
51,magnat
52,voleur
53,voleur
