,0
0,Royaume
1,royaume
2,chiffre_trois
3,les_trois_royaumes
4,film
5,réalisateur
6,chinois
7,nom_tsui_hark
8,chef_d'œuvre
9,version_longue
10,bataille
11,tactique
12,tortue
13,chorégraphie
14,combat
15,ralenti
16,découpage
17,version
18,international
19,enfer
20,arme
21,militantisme
22,révolution
23,négation
24,engagement
25,politique
26,étudiant
27,manifestant
28,manifestation
29,place
30,bastille
31,république
32,cinquième
33,électorat
34,élu
35,irresponsabilité
36,responsabilité
37,confusion
38,président
39,premier
40,ministre
41,électorat.1
42,urne
43,bulletin
44,liste
45,vote
46,confiance
47,alternance
48,norme
49,cumul
50,tramway
51,rail
