,0
0,bonbon
1,confiture
2,fleur
3,soleil
4,jonquille
5,rose
6,lit
7,peluche
8,drap
9,oreiller
10,fenêtre
11,canapé
12,télévision
13,beurre
14,cracotte
15,biscotte
16,chocolat
17,café
18,cappuccino
19,théière
20,frigo
21,armoire
22,cadre
23,billet
24,pièce
25,chaussures
26,robe
27,collants
28,culotte
29,soutien-gorge
30,pantalon
31,brosse
32,flacon
33,baignoire
34,rouge_à_lèvres
35,blush
36,voiture
37,vélo
38,étagère
39,vase
40,boite
41,console
42,ordinateur
43,souris
44,chien
45,chat
46,arbre
47,herbe
48,baskets
49,jogging
50,lac
51,feuille
52,caillou
53,sable
54,mer
55,plage
56,guidon
57,vélo
58,pédale
59,radiateur
60,vitre
61,caddie
62,bouteille
63,wc
64,escalier
65,tableau
66,torchon
67,serviette
68,oreiller
69,matelas
70,sommier
71,rideau
72,parquet
73,peinture
74,pinceau
75,tracteur
76,motocyclette
