,0
0,serpent
1,serpentin
2,reptile
3,reptilien
4,rétine
5,yeux
6,bleus
7,verts
8,bruns
9,caca_d'oie
10,papa
11,maman
12,enfance
13,redondant
14,rebondir
15,balle
16,diabolo
17,cirque
18,circassien
19,circassien.1
20,circassienne
21,chien
22,chienne
23,animaux_de_compagnie
24,animaux_sauvages
25,lion
26,lionne
27,reptile.1
28,corps_froid
29,chaleur
30,sang_bleu
31,serpentin.1
32,Nouvel-An
33,confetti
34,fête
35,fiesta
36,fiesta.1
37,carambar
38,blague_carambar
39,carambar.1
40,caramba
41,mexicain
42,Mexique
43,mexicaine
44,Clara
45,Pérou
46,Amérique_du_Sud
47,Cuba
48,soleil
49,chaleur.1
