,0
0,chat
1,chien
2,puce
3,lapin
4,vache
5,coq
6,poule
7,canard
8,oie
9,poulain
10,jument_
11,taureau
12,agneau
13,mouton
14,bouc
15,chèvre
16,mamrotte
17,chamois
18,biche
19,grenouille
20,rat
21,souris
22,éléphant
23,tigre
24,girafe
25,léopard
26,puma
27,zèbre
28,koala
29,baleine
30,dauphin
31,orque
32,otarie
33,hyène
34,ranard_
35,loup
36,cochon
37,cochon_d'inde
38,sanglier
39,lièvre
40,hérisson
41,belette
42,putois
43,blaireau
44,cigogne
45,alouette
46,mouette
47,pie
48,mésange
49,corneille
50,geai
51,corbeau
52,crapaud_
53,crapaud_bufle
